NOC,Year,GDP,Population,Medals
USA,1960,5.43E+11,180700000,34
USA,1964,6.86E+11,191900000,38
USA,1968,9.43E+11,200700000,45
USA,1972,1.28E+12,209900000,48
USA,1976,1.87E+12,218000000,49
USA,1984,4.04E+12,235800000,83
USA,1988,5.24E+12,244500000,38
USA,1992,6.52E+12,256900000,39
USA,1996,8.07E+12,269700000,44
USA,2000,1.03E+13,282200000,40
USA,2004,1.22E+13,292800000,42
USA,2008,1.47E+13,304100000,48
USA,2012,1.62E+13,313900000,46
USA,2016,1.87E+13,323100000,46
USA,2020,2.09E+13,331449281,39
RSA,1996,3.92E+11,148200000,26
RSA,2000,2.60E+11,146600000,32
RSA,2004,5.91E+11,144100000,28
RSA,2008,1.66E+12,142700000,24
RSA,2012,2.21E+12,143200000,20
RSA,2016,1.28E+12,144300000,16
RSA,2020,1.47E+12,145934462,20
CNH,1984,2.60E+11,1037000000,15
CNH,1988,3.12E+11,1102000000,10
CNH,1992,4.27E+11,1165000000,16
CNH,1996,8.64E+11,1218000000,16
CNH,2000,1.21E+12,1263000000,28
CNH,2004,1.94E+12,1296000000,32
CNH,2008,4.59E+12,1325000000,36
CNH,2012,8.53E+12,1351000000,38
CNH,2016,1.12E+13,1379000000,25
CNH,2020,1.47E+13,1411780000,38
GBR,1960,7.32E+10,52370602,2
GBR,1964,9.44E+10,53800000,4
GBR,1968,1.08E+11,55090000,5
GBR,1972,1.70E+11,56010000,4
GBR,1976,2.33E+11,56220000,3
GBR,1980,5.65E+11,56280000,5
GBR,1984,4.61E+11,56360000,5
GBR,1988,9.10E+11,56860000,5
GBR,1992,1.18E+12,57510000,5
GBR,1996,1.42E+12,58090000,2
GBR,2000,1.66E+12,58923309,11
GBR,2004,2.41E+12,59790000,9
GBR,2008,2.92E+12,61570000,19
GBR,2012,2.70E+12,63500000,29
GBR,2016,2.69E+12,66297944,27
GBR,2020,2.71E+12,67886011,22
GER,1992,2.13E+12,80270000,33
GER,1996,2.50E+12,81820000,20
GER,2000,1.94E+12,82160000,13
GER,2004,2.81E+12,82530000,13
GER,2008,3.73E+12,82220000,16
GER,2012,3.53E+12,80330000,11
GER,2016,3.47E+12,82180000,17
GER,2020,3.80E+12,83783942,10
AUS,1956,1.37E+10,9371789,13
AUS,1960,2.07E+10,10242076,8
AUS,1964,2.38E+10,11170000,6
AUS,1968,3.27E+10,12010000,5
AUS,1972,5.20E+10,13180000,8
AUS,1980,1.50E+11,14690000,2
AUS,1984,1.93E+11,15540000,4
AUS,1988,2.36E+11,16530000,3
AUS,1992,3.25E+11,17500000,7
AUS,1996,4.00E+11,18310000,9
AUS,2000,4.15E+11,19150000,16
AUS,2004,6.13E+11,20130000,17
AUS,2008,1.05E+12,21250000,14
AUS,2012,1.55E+12,22730000,8
AUS,2016,1.21E+12,24190000,8
AUS,2020,1.33E+12,25694393,17
ITA,1960,4.04E+10,49699951,10
ITA,1964,6.32E+10,51440000,10
ITA,1968,8.79E+10,53080000,3
ITA,1972,1.14E+11,54190000,5
ITA,1976,2.25E+11,55590000,2
ITA,1980,4.77E+11,56390000,8
ITA,1984,4.38E+11,56570000,14
ITA,1988,8.92E+11,56610000,6
ITA,1992,1.32E+12,56770000,6
ITA,1996,1.31E+12,56840000,13
ITA,2000,1.14E+12,56920000,13
ITA,2004,1.80E+12,57500000,10
ITA,2008,2.40E+12,58650000,8
ITA,2012,2.09E+12,59390000,8
ITA,2016,1.88E+12,60663060,8
ITA,2020,1.89E+12,60461826,10
JPN,1960,4.43E+10,93673615,4
JPN,1964,8.17E+10,97830000,16
JPN,1968,1.47E+11,101100000,11
JPN,1972,5.86E+11,107200000,13
JPN,1976,5.86E+11,112800000,9
JPN,1984,1.32E+12,120000000,10
JPN,1988,3.07E+12,122600000,4
JPN,1992,3.91E+12,124200000,3
JPN,1996,4.83E+12,125800000,3
JPN,2000,4.89E+12,128000000,5
JPN,2004,4.82E+12,127800000,16
JPN,2008,5.04E+12,128100000,9
JPN,2012,6.20E+12,127600000,7
JPN,2016,4.92E+12,128000000,12
JPN,2020,5.05E+12,126000000,27
FRA,1964,9.40E+10,49230000,1
FRA,1968,1.30E+11,51180000,7
FRA,1972,2.03E+11,52790000,2
FRA,1976,3.72E+11,54220000,2
FRA,1980,7.01E+11,55160000,6
FRA,1984,5.31E+11,56340000,5
FRA,1988,1.02E+12,57630000,6
FRA,1992,1.40E+12,58850000,8
FRA,1996,1.61E+12,59750000,15
FRA,2000,1.36E+12,59015096,13
FRA,2004,2.12E+12,62700000,11
FRA,2008,2.92E+12,64370000,7
FRA,2012,2.68E+12,65660000,11
FRA,2016,2.60E+12,64667596,10
FRA,2020,2.60E+12,65273511,10
NED,1964,1.87E+10,12040000,2
NED,1968,2.78E+10,12660000,3
NED,1972,5.47E+10,13270000,3
NED,1984,1.44E+11,14390000,5
NED,1988,2.62E+11,14710000,2
NED,1992,3.63E+11,15130000,2
NED,1996,4.51E+11,15490000,4
NED,2000,4.16E+11,15860000,12
NED,2004,6.57E+11,16260000,4
NED,2008,9.48E+11,16410000,7
NED,2012,8.39E+11,16730000,6
NED,2016,7.84E+11,16980000,8
NED,2020,9.10E+11,17134872,10
KOR,1976,2.99E+10,35850000,1
KOR,1984,9.75E+10,40410000,6
KOR,1988,2.00E+11,42030000,12
KOR,1992,2.00E+11,43750000,12
KOR,1996,6.10E+11,45520000,7
KOR,2000,5.76E+11,47010000,8
KOR,2004,7.93E+11,48080000,9
KOR,2008,1.05E+12,49050000,13
KOR,2012,1.28E+12,50200000,13
KOR,2016,1.50E+12,51220000,9
KOR,2020,1.63E+12,51269185,6
CUB,1972,8135150892,9025000,3
CUB,1976,13789579903,9554000,6
CUB,1980,19912889861,9849459,8
CUB,1992,22085858243,10740000,14
CUB,1996,25017368700,10940000,9
CUB,2000,30565400000,11126430,11
CUB,2004,38203000000,11250000,9
CUB,2008,60806300000,11240000,3
CUB,2012,73141000000,11260000,5
CUB,2016,91370000000,11335104,5
CUB,2020,1.05E+11,11326616,7
HUN,2004,1.04E+11,1012000,8
HUN,2000,47218405892,10220507,8
HUN,1996,46658755152,1032000,7
HUN,1992,38730585922,1037000,11
HUN,2008,1.58E+11,1005000,3
HUN,2012,1.28E+11,9932000,8
HUN,2016,1.28E+11,9752975,8
HUN,2020,1.55E+11,9660351,6
